t,Weekly Median Returns,BTC Weekly Returns,BTC Close,Median RSI,BTC RSI,Total Long Liquid,Total Short Liquid,Meme Volume Ratio,BTC SMA,Diff SMA,Total Open Interest,BTC Open Interest,OI Ratio,Mean LSR,BTC LSR,Median FR,BTC FR,Median EMA,BTC EMA
2022-01-09,-16.46308481890855,-11.482191201353634,41851.22,16.21431253676461,4.936664729808271,1.722586414776191,1.871387234742181,0.4816587034122107,46853.547999999995,-10.676519097337078,4.53601409575026,0.10212826764395007,44.414873574123206,4.093668067226892,2.9793,10.9575,10.9575,2.0994485304591786,43261.1791437312
2022-01-10,-19.90721423925917,-9.999308871995115,41801.55,13.922615052775534,4.896289746540958,6.360437695137801,2.7586485415308046,0.3810203193141163,46499.868,-10.103938359566953,4.984904188669738,0.10596595840120078,47.04250557331108,3.6710949579831933,2.8329,10.9575,10.9575,2.067494211807883,42992.42748880159
2022-01-11,-14.507638808242685,-6.835056166439244,42700.68,25.431212574940467,17.16062131577813,1.3703502262065863,2.972027899118752,0.863177803504714,46206.417499999996,-7.587122503059224,5.089135066321512,0.11410453308748718,44.60063880564261,3.9453546218487396,2.6417,10.9575,10.9575,2.0746180674693173,42941.30642849925
2022-01-12,-2.718219780354545,1.0571444824003828,43880.72,34.97104679318377,29.151507419955493,1.043281772205077,2.913579932315634,1.3697306529777389,45859.5575,-4.314994753274716,5.381825127760459,0.1150398653283432,46.78226206541377,3.3606781512605037,1.9674,10.9575,-5.8534965,2.0873051303026915,43099.295684559176
2022-01-13,-6.214846393219949,-1.2666895852624043,42534.32,31.61205086034242,25.01942362881813,4.586022061097834,2.238562816581598,1.5608059572107085,45445.846000000005,-6.406583343172895,5.484569557238474,0.10868492602323132,50.46301964695777,3.3738974789915956,2.3602,10.9575,-6.663255749999999,2.080231837468487,43007.47826885082
2022-01-14,0.92205628631941,3.5821942895317087,43042.4,34.42893915619105,28.82644036766925,2.829268547576434,2.3166931570441185,2.5372558902356572,45077.784,-4.515270759538664,5.828810754460164,0.08545297625291726,68.21074010586233,3.871004201680672,2.7864,10.9575,-7.29221625,2.0821374917901796,43012.99267485187
2022-01-15,6.909385185187077,3.316202125069412,43070.51,36.65896785560501,29.025812835764683,1.0867207354671908,1.6755933283507594,1.3120575738593347,44693.023,-3.6303496409271734,6.335068079875809,0.09462594262805647,66.94853339297113,3.7178394957983176,2.2279,10.9575,2.91579075,2.0863006647174758,43021.85725599507
2022-01-16,4.6439798044710265,2.8898560185342324,43060.66,36.3245897887524,28.997349867294275,1.7236987692196568,1.2762656254743647,0.9239609130098803,44310.67,-2.8210135391768953,6.442250902629253,0.07779151939450198,82.81430871608053,3.5259840336134456,2.1075,10.9575,3.966615,2.091403747670654,43027.71576237732
2022-01-17,3.5699829966298626,0.8965935473684435,42176.34,33.881508060693484,28.85335282830654,5.967465933318651,1.179091998043243,0.8656932628061657,44043.3855,-4.239105324907415,6.856804070237862,0.09818650892636402,69.83448281454017,3.810263025210084,2.3864,10.9575,10.9575,2.080988082697078,42901.40278049569
2022-01-18,-2.176576881709776,-0.850337746377806,42337.58,33.04521267465639,31.875119248094137,4.792737704898998,1.930401813342164,0.7181141639521291,43838.4375,-3.423610843794326,7.2905676362910965,0.08797784170667175,82.86822562206844,4.38339243697479,3.1789,10.9575,10.9575,2.062689780435802,42818.990785383765
2022-01-19,-11.648796241032418,-5.065618795680658,41657.89,36.164813519573414,38.85324556480766,4.9456637946424875,1.2811446499691375,0.43080193227945246,43566.581,-4.38108971645032,6.8397568862979155,0.09462609139574969,72.28193392974843,4.311130252100841,2.6819,10.9575,10.9575,2.034643736636064,42651.42713264238
2022-01-20,-11.595390158712615,-4.40263297967382,40661.69,33.724098845260784,35.884588804422975,7.928023354613231,2.5151856063309177,0.3400776501467769,43289.1375,-6.06953072234344,6.798482988640558,0.10624723843770788,63.9873853533282,4.201242016806723,2.7313,10.9575,10.9575,2.003511520410619,42367.398221034586
2022-01-21,-25.166099341132455,-15.371865881084693,36425.98,29.826397850098857,27.261569023927393,19.96825237366874,3.696485937752296,0.3727281763998842,42725.219,-14.74360845289054,5.676416650940058,0.059279135431195104,95.75741295229646,4.333971428571428,3.1929,10.9575,9.0136395,1.9422910266492661,41527.18829363549
2022-01-22,-34.13755242027641,-18.636370918291885,35043.73,28.92858735110149,23.473354061766926,20.01721696681028,8.714553305574217,0.8386591227121878,42113.40550000001,-16.787232986892985,4.776049571023415,0.0718855609875489,66.43962299815203,3.7805512605042026,2.5474,-11.445656624999998,10.9575,1.8731122633993627,40617.67640535565
2022-01-23,-31.353186757151413,-15.862854865670894,36230.01,29.348167514229786,29.25288828424364,3.814876917936628,4.163342189696947,1.4576989542223104,41602.6155,-12.914105123991538,5.0353101549117145,0.08200733795655062,61.400726817635984,3.107221008403361,1.8902,-14.052993749999999,-1.72361475,1.8236401984192894,40006.413602323344
2022-01-24,-31.40837077239869,-13.106945742565618,36648.31,30.20218742240764,31.48394607490873,8.720988413865054,6.929687180124362,0.5659151206003463,41143.36,-10.925335218125118,5.604211655106352,0.07180328253534819,78.04951886910521,3.0338588235294135,1.8217,-4.0038705,5.4886117500000005,1.7771380729917103,39541.36442682879
2022-01-25,-28.25990286793865,-12.762467765044672,36934.26,26.349155749986103,28.32567307301983,3.148459776923476,3.48821228989437,0.7430230201229155,40818.9885,-9.516964145253128,5.689451974024125,0.10117494443005967,56.233803794744226,2.9210529411764705,1.2931,2.710337625,-10.966266,1.7376187310416915,39182.16855625051
2022-01-26,-24.388723812872524,-11.691566711612133,36787.43,19.190782593039692,21.093126615324067,5.743911953932139,4.934400477626444,0.5044297178915605,40504.359500000006,-9.176615914640015,4.830155133506309,0.07942520685875008,60.813881694966994,2.6941756302521007,1.1896,2.924008875,-4.5254475,1.704037818829673,38853.69080911894
2022-01-27,-22.081733588002358,-8.683087200753343,37131.0,21.528425965434515,26.020159092805343,5.555982672441459,2.7417937919033846,0.5608777536079872,40283.2165,-7.825136058834831,5.176385141103808,0.06443760560460667,80.3317425055556,2.941957983193277,1.2548,0.844275375,-8.277295500000001,1.6836031494675239,38618.297739893955
2022-01-28,-6.167459385435235,3.4871539489122756,37696.21,21.385604832450383,26.393406284800392,2.37180247545764,2.6104876912888675,0.40248267324815507,40083.6245,-5.956084385532549,5.440318883869234,0.0830769776708519,65.48527686483239,2.919743697478991,1.266,4.82020425,3.15576,1.6900922676046402,38492.71679991388
